country,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling
panama,2009,developing,76.8,127.0,1,6.87,85.0,2,85.0,7.56,85.0,0.1,7429.628274,3579385.0,2.0,1.9,0.755,12.8
south africa,2012,developing,59.2,48.0,43,7.38,68.0,56,65.0,8.79,65.0,7.6,7548.163698,5256515.8,6.0,7.3,0.644,12.8
dominican republic,2014,developing,73.6,154.0,6,5.92,89.0,7,9.0,4.38,91.0,0.3,6268.692122,145844.0,3.3,3.2,0.712,13.2
brazil,2011,developing,74.1,152.0,51,7.58,98.0,57,98.0,8.9,99.0,0.1,13167.47289,198686688.0,2.9,2.8,0.724,14.0
maldives,2011,developing,77.3,67.0,0,1.92,96.0,0,96.0,8.11,96.0,0.1,6497.55443,377.0,13.9,14.0,0.663,11.8
romania,2012,developed,74.4,138.0,2,9.58,96.0,2,92.0,5.48,91.0,0.1,8558.39766,25835.0,2.8,3.0,0.797,15.3
maldives,2008,developing,75.9,81.0,0,1.76,98.0,0,98.0,9.3,98.0,0.1,5828.621374,362.0,14.2,14.3,0.641,11.8
costa rica,2003,developing,78.0,1.0,1,4.04,86.0,1,88.0,8.45,88.0,0.1,4167.71417,4125971.0,2.2,2.1,0.715,12.1
costa rica,2004,developing,77.7,12.0,1,4.09,89.0,1,9.0,7.8,9.0,0.1,4425.57467,418738.0,2.1,2.0,0.719,12.2
south africa,2010,developing,58.0,428.0,43,7.28,71.0,62,72.0,8.5,72.0,11.0,7362.76139,5979432.36,7.3,8.9,0.63,12.8
mexico,2010,developing,75.6,127.0,35,5.21,93.0,40,95.0,6.39,95.0,0.1,8959.581416,117318941.0,1.6,1.6,0.739,12.5
costa rica,2005,developing,78.6,97.0,1,4.1,9.0,1,91.0,7.74,91.0,0.1,4697.11135,4247841.0,2.0,2.0,0.723,12.4
argentina,2013,developing,76.0,119.0,8,8.28,94.0,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3
mexico,2005,developing,75.3,126.0,42,4.93,98.0,49,98.0,6.4,98.0,0.1,7986.798439,18472228.0,1.8,1.7,0.719,12.2
romania,2010,developed,73.4,153.0,2,9.0,98.0,2,94.0,5.83,94.0,0.1,8297.483621,2246871.0,3.0,3.2,0.797,15.8
mexico,2006,developing,75.8,125.0,40,5.11,98.0,47,98.0,5.83,98.0,0.1,8767.92258,1192378.0,1.8,1.7,0.723,12.2
south africa,2013,developing,69.0,371.0,43,7.34,7.0,54,73.0,8.78,73.0,4.5,6876.953821,53311955.61,5.4,6.5,0.652,12.8
colombia,2008,developing,73.5,146.0,14,4.45,92.0,16,92.0,6.62,92.0,0.1,5433.7245,4491544.0,2.3,2.0,0.683,12.2
peru,2014,developing,75.3,125.0,8,0.01,88.0,10,78.0,5.47,88.0,0.1,6491.5245,3973354.0,1.1,1.1,0.735,13.4
canada,2011,developing,81.5,68.0,2,8.2,7.0,2,87.0,1.82,87.0,0.1,5282.2176,3434278.0,0.5,0.5,0.903,15.9
argentina,2006,developing,75.2,127.0,11,7.75,84.0,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1
panama,2008,developing,76.5,127.0,1,6.74,86.0,2,86.0,6.75,86.0,0.1,6973.9284,3516268.0,2.0,2.0,0.75,12.8
cyprus,2000,developed,78.1,7.0,0,9.56,89.0,0,97.0,5.77,97.0,0.1,14672.8826,943286.0,0.9,1.0,0.798,12.5
peru,2013,developing,75.3,125.0,8,5.38,88.0,11,71.0,5.23,88.0,0.1,6583.116248,3565716.0,1.1,1.1,0.731,13.4
germany,2014,developed,89.0,69.0,2,11.03,88.0,3,94.0,11.3,95.0,0.1,4792.65288,89825.0,1.1,1.1,0.92,17.0
colombia,2009,developing,73.6,15.0,13,4.34,92.0,15,92.0,7.1,92.0,0.1,5148.422113,45416181.0,2.2,2.0,0.691,12.4
south africa,2014,developing,62.0,347.0,42,7.38,8.0,52,77.0,8.8,77.0,3.7,6479.625659,54146734.74,4.9,5.9,0.66,13.0
mexico,2004,developing,75.4,124.0,44,4.9,98.0,52,98.0,6.11,98.0,0.1,7199.59665,16995583.0,1.8,1.8,0.714,12.1
romania,2007,developed,72.9,154.0,3,10.6,99.0,3,96.0,5.21,96.0,0.1,8214.185378,2882982.0,3.2,3.6,0.766,14.1
mauritius,2011,developing,73.6,158.0,0,3.03,98.0,0,98.0,5.2,98.0,0.1,9197.26972,125244.0,7.1,7.1,0.748,14.1
mauritius,2013,developing,74.1,147.0,0,0.01,98.0,0,98.0,4.82,98.0,0.1,9637.265,1258653.0,7.0,7.0,0.765,14.7
seychelles,2007,developing,72.2,185.0,0,8.12,99.0,0,99.0,3.3,99.0,0.1,12154.82994,8533.0,5.9,6.3,0.733,13.1
brazil,2013,developing,74.7,146.0,46,7.24,96.0,52,96.0,8.48,97.0,0.1,12216.9446,2248632.0,2.8,2.7,0.734,14.2
serbia,2011,developing,74.6,127.0,1,9.56,94.0,1,94.0,9.72,94.0,0.1,6423.291783,723499.0,2.2,2.2,0.757,13.5
mauritius,2012,developing,73.9,154.0,0,0.01,98.0,0,98.0,4.76,98.0,0.1,9291.227619,1255882.0,7.1,7.0,0.756,14.3
lithuania,2005,developed,78.0,222.0,0,12.3,95.0,0,93.0,5.83,94.0,0.1,7863.1629,3322528.0,3.0,3.1,0.798,16.2
luxembourg,2002,developed,78.3,95.0,0,12.91,95.0,0,99.0,8.27,99.0,0.1,5293.64115,446175.0,1.0,0.9,0.86,13.5
germany,2013,developed,86.0,71.0,2,10.94,88.0,3,94.0,11.16,95.0,0.1,4653.91143,864565.0,1.1,1.1,0.919,16.9
peru,2012,developing,74.9,129.0,9,5.14,95.0,11,94.0,5.18,95.0,0.1,6387.785281,3158966.0,1.1,1.1,0.725,13.4
uruguay,2004,developing,75.4,122.0,1,5.66,94.0,1,95.0,11.59,94.0,0.1,4117.38853,332496.0,1.7,1.6,0.75,15.5
mexico,2009,developing,75.7,13.0,36,5.27,95.0,42,95.0,6.6,95.0,0.1,7748.12331,11555228.0,1.7,1.6,0.738,12.5
serbia,2013,developing,75.3,122.0,1,9.16,91.0,1,97.0,1.12,95.0,0.1,6353.826383,7164132.0,2.1,2.1,0.766,14.1
bulgaria,2011,developed,73.7,144.0,1,10.67,96.0,1,95.0,6.88,95.0,0.1,7813.83499,7348328.0,2.0,2.0,0.775,14.2
australia,2007,developed,81.3,66.0,1,10.56,94.0,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.918,19.0
germany,2011,developed,85.0,74.0,2,11.2,88.0,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8
costa rica,2001,developing,77.5,1.0,1,4.29,8.0,1,92.0,7.25,91.0,0.1,3981.52847,3996798.0,2.3,2.2,0.708,11.7
canada,2009,developing,81.0,72.0,2,8.4,42.0,2,89.0,11.17,91.0,0.1,4773.45436,33628571.0,0.5,0.4,0.898,15.9
dominican republic,2012,developing,72.1,174.0,6,5.93,74.0,7,85.0,4.26,85.0,0.4,5968.876767,115495.0,3.3,3.2,0.706,13.1
bulgaria,2012,developed,73.9,139.0,1,10.99,95.0,1,95.0,7.11,95.0,0.1,7378.25539,735888.0,1.9,1.9,0.778,14.3
argentina,2014,developing,76.2,118.0,8,7.93,94.0,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3
belarus,2011,developing,72.0,232.0,0,17.31,98.0,1,98.0,4.92,98.0,0.1,6519.71753,9473172.0,2.0,2.1,0.787,15.5
dominican republic,2011,developing,73.1,16.0,6,5.91,8.0,7,84.0,4.22,84.0,0.7,5759.643,12795.0,3.3,3.2,0.703,13.0
brazil,2012,developing,74.5,148.0,49,7.55,96.0,54,96.0,8.26,95.0,0.1,12291.46685,256983.0,2.8,2.8,0.73,14.2
seychelles,2003,developing,72.1,185.0,0,7.41,99.0,0,99.0,4.64,99.0,0.1,8524.961236,82781.0,6.1,6.5,0.713,12.1
germany,2012,developed,86.0,71.0,2,11.18,88.0,3,94.0,1.99,95.0,0.1,4465.24891,8425823.0,1.1,1.1,0.916,16.9
lebanon,2011,developing,75.0,93.0,1,1.57,81.0,1,75.0,7.12,81.0,0.1,8734.9653,4588368.0,4.7,4.7,0.758,13.2
turkey,2005,developing,72.4,129.0,30,1.29,85.0,36,9.0,5.45,9.0,0.1,7384.354661,679346.0,5.0,4.9,0.681,11.9
serbia,2009,developing,74.1,131.0,1,9.85,93.0,1,97.0,9.9,95.0,0.1,5821.35397,73287.0,2.3,2.3,0.754,13.6
kazakhstan,2009,developing,67.8,235.0,7,6.64,99.0,8,99.0,4.13,98.0,0.1,7165.2775,169271.0,2.3,2.5,0.758,14.6
south africa,2007,developing,54.5,486.0,51,8.48,83.0,79,79.0,7.53,82.0,26.4,6125.39984,48883844.99,9.7,11.7,0.612,12.9
lebanon,2010,developing,74.9,94.0,1,1.58,81.0,1,75.0,7.19,81.0,0.1,8763.826274,4337141.0,4.7,4.7,0.752,13.3
thailand,2012,developing,74.3,154.0,9,6.56,98.0,11,99.0,4.17,99.0,0.1,5859.915622,67843979.0,8.0,8.1,0.729,13.7
thailand,2014,developing,74.6,152.0,8,6.41,99.0,10,99.0,4.12,99.0,0.1,5941.8471,68416772.0,7.8,7.8,0.737,13.6
thailand,2013,developing,74.5,153.0,9,6.5,99.0,10,99.0,4.0,99.0,0.1,6171.262444,6814365.0,7.9,7.9,0.733,13.6
south africa,2009,developing,56.5,449.0,46,7.6,74.0,70,75.0,8.39,76.0,19.0,5888.6284,5255813.11,8.1,9.8,0.622,12.8
mexico,2003,developing,75.0,127.0,46,4.88,98.0,55,98.0,6.2,98.0,0.1,6751.998987,1564453.0,1.9,1.8,0.708,11.9
colombia,2007,developing,73.5,144.0,14,4.66,93.0,17,93.0,6.25,93.0,0.1,4674.21961,44374572.0,2.3,2.1,0.675,11.9
south africa,2008,developing,55.3,473.0,50,8.19,76.0,75,77.0,7.75,79.0,23.5,5786.59972,49557573.3,8.9,1.7,0.616,12.9
serbia,2010,developing,74.4,128.0,1,9.65,89.0,1,91.0,1.9,91.0,0.1,5411.87744,7291436.0,2.2,2.3,0.755,13.6
serbia,2007,developing,73.8,132.0,1,9.3,99.0,1,93.0,1.2,94.0,0.1,5458.121718,7381579.0,2.4,2.4,0.743,13.5
canada,2006,developing,85.0,75.0,2,8.2,14.0,2,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.5,0.4,0.891,15.8
bulgaria,2010,developed,73.4,147.0,1,10.8,95.0,1,94.0,7.24,94.0,0.1,6843.263289,7395599.0,2.0,2.0,0.77,13.9
peru,2011,developing,74.5,133.0,9,4.83,91.0,12,91.0,4.93,91.0,0.2,5771.565878,29759989.0,1.1,1.1,0.721,13.4
france,2012,developing,81.5,83.0,3,11.5,78.0,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1
thailand,2011,developing,74.1,155.0,10,6.07,98.0,11,99.0,4.12,99.0,0.2,5491.159981,675313.0,8.1,8.2,0.72,13.3
serbia,2012,developing,74.9,126.0,1,9.38,97.0,1,93.0,9.89,91.0,0.1,5659.3824,719977.0,2.1,2.1,0.767,14.0
swaziland,2011,developing,55.0,438.0,2,5.2,91.0,3,85.0,8.61,91.0,15.7,3934.27325,1225258.0,5.1,5.2,0.526,11.2
bosnia and herzegovina,2014,developing,77.2,89.0,0,4.03,89.0,0,86.0,9.57,86.0,0.1,5193.94932,35662.0,2.4,2.4,0.742,14.2
south africa,2006,developing,54.0,496.0,54,8.5,83.0,82,79.0,7.57,82.0,28.1,5631.73485,4823384.48,1.6,12.8,0.609,12.9
malaysia,2014,developing,74.8,126.0,4,0.52,96.0,4,97.0,4.17,97.0,0.1,11183.96191,322817.0,7.6,7.4,0.783,13.0
swaziland,2012,developing,56.5,412.0,2,0.01,95.0,3,92.0,8.76,95.0,12.2,3851.51547,1248158.0,4.8,4.9,0.534,11.3
argentina,2004,developing,74.7,13.0,11,7.63,81.0,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3
jordan,2010,developing,73.4,117.0,4,0.51,98.0,4,98.0,8.42,98.0,0.1,3679.19275,718239.0,3.8,3.8,0.739,13.2
belgium,2011,developed,83.0,8.0,0,10.11,97.0,1,98.0,1.42,98.0,0.1,4772.77415,1147744.0,0.9,0.9,0.884,16.1
south africa,2005,developing,53.8,498.0,55,8.69,79.0,84,75.0,7.77,79.0,29.5,5414.634326,476667.24,11.6,13.9,0.609,12.9
swaziland,2013,developing,57.6,393.0,2,0.01,98.0,3,98.0,9.66,98.0,9.8,3598.75972,1271456.0,4.5,4.6,0.539,11.4
kazakhstan,2008,developing,66.6,258.0,8,7.6,99.0,9,99.0,3.65,99.0,0.1,8513.564645,15674.0,2.4,2.5,0.758,14.6
belgium,2013,developed,87.0,77.0,0,11.77,98.0,1,99.0,1.57,99.0,0.1,4651.38647,11182817.0,1.0,0.9,0.889,16.3
seychelles,2008,developing,72.2,184.0,0,6.33,99.0,0,99.0,2.64,99.0,0.1,11122.8627,86956.0,5.9,6.3,0.739,13.2
samoa,2013,developing,73.6,131.0,0,0.01,6.0,0,62.0,6.91,67.0,0.1,4219.65123,19757.0,0.2,0.1,0.7,12.9
bosnia and herzegovina,2012,developing,76.8,92.0,0,4.61,92.0,0,87.0,9.94,92.0,0.1,4716.673325,36482.0,2.5,2.5,0.728,13.9
turkmenistan,2014,developing,66.0,217.0,7,2.9,97.0,8,98.0,2.7,98.0,0.1,7962.365824,5466241.0,3.3,3.3,0.683,10.8
tonga,2005,developing,72.3,15.0,0,1.57,89.0,0,9.0,6.52,89.0,0.1,2594.74999,1141.0,0.1,0.1,0.694,14.6
france,2011,developing,81.7,83.0,3,11.8,74.0,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6,0.6,0.882,16.1
belgium,2009,developed,79.8,85.0,0,10.05,97.0,1,98.0,1.39,98.0,0.1,4488.5615,1796493.0,0.9,0.9,0.876,15.8
belize,2014,developing,70.0,177.0,0,6.58,95.0,0,95.0,5.79,95.0,0.2,4852.223666,351694.0,3.4,3.4,0.705,12.8
botswana,2011,developing,62.2,325.0,2,5.76,95.0,3,96.0,5.25,95.0,5.5,7645.21469,251339.0,7.7,7.4,0.678,12.4
jordan,2009,developing,73.3,118.0,4,0.59,98.0,4,98.0,9.54,98.0,0.1,3492.1396,6821116.0,3.8,3.8,0.742,13.6
belgium,2010,developed,80.0,81.0,0,10.22,97.0,1,98.0,1.17,98.0,0.1,4438.23741,1895586.0,0.9,0.9,0.878,15.9
el salvador,2014,developing,73.3,181.0,2,2.52,93.0,2,93.0,6.77,94.0,0.2,3988.771871,6281189.0,1.6,1.6,0.676,13.2
romania,2006,developed,72.5,157.0,3,8.51,99.0,4,97.0,5.6,97.0,0.1,5828.745662,2119376.0,3.2,3.7,0.755,13.7
dominican republic,2010,developing,72.7,166.0,6,6.02,83.0,8,85.0,4.6,88.0,0.9,5451.6696,9897985.0,3.3,3.3,0.697,12.9
belgium,2012,developed,83.0,78.0,0,10.08,98.0,1,99.0,1.54,99.0,0.1,4474.5717,11128246.0,0.9,0.9,0.886,16.2
botswana,2014,developing,65.1,268.0,2,0.01,95.0,2,96.0,5.41,95.0,2.3,7497.762376,2168573.0,6.7,6.4,0.697,12.6
bulgaria,2009,developed,73.2,152.0,1,10.93,96.0,1,94.0,6.78,94.0,0.1,6955.987733,7444443.0,2.0,2.1,0.768,13.8
samoa,2014,developing,73.8,128.0,0,0.01,56.0,0,58.0,7.22,63.0,0.1,4178.973369,19229.0,0.2,0.1,0.701,12.9
maldives,2006,developing,75.0,88.0,0,1.62,98.0,0,98.0,7.37,98.0,0.1,4428.522898,333.0,14.3,14.5,0.622,12.0
el salvador,2013,developing,73.0,184.0,2,2.42,92.0,2,92.0,6.95,92.0,0.2,3895.664491,625777.0,1.6,1.6,0.675,13.2
poland,2004,developed,74.9,143.0,2,9.19,98.0,3,99.0,6.19,99.0,0.1,6681.178818,38182222.0,2.4,2.5,0.8,15.5
uruguay,2000,developing,75.1,131.0,1,6.65,92.0,1,92.0,7.82,9.0,0.1,6871.897677,3321245.0,1.8,1.7,0.738,14.0
bosnia and herzegovina,2009,developing,76.1,97.0,0,4.75,9.0,0,9.0,9.64,9.0,0.1,4697.89732,3746561.0,2.7,2.7,0.716,13.3
seychelles,2001,developing,72.0,187.0,0,6.72,96.0,0,96.0,4.45,96.0,0.1,7663.1378,8122.0,6.2,6.6,0.714,12.2
belgium,2007,developed,79.5,86.0,0,10.25,94.0,1,99.0,9.25,98.0,0.1,4443.83131,16257.0,0.8,0.8,0.871,15.8
panama,2006,developing,76.2,125.0,1,5.72,88.0,2,98.0,7.0,88.0,0.1,5348.518399,339195.0,2.1,2.0,0.744,12.9
bosnia and herzegovina,2010,developing,76.4,94.0,0,4.54,89.0,0,9.0,9.58,89.0,0.1,4611.47298,372284.0,2.6,2.6,0.717,13.3
lebanon,2005,developing,73.9,11.0,1,1.94,77.0,1,74.0,8.42,77.0,0.1,5339.441291,3986852.0,4.7,4.6,0.7514999999999998,13.7
botswana,2005,developing,51.7,566.0,2,6.37,92.0,3,96.0,5.62,96.0,20.6,5351.253732,1855852.0,1.0,9.9,0.593,11.9
belize,2013,developing,69.8,18.0,0,6.56,95.0,0,95.0,5.79,95.0,0.2,4688.538443,344181.0,3.4,3.4,0.706,12.9
russian federation,2005,developing,65.0,327.0,18,11.57,97.0,20,98.0,5.21,98.0,0.3,5323.473877,143518523.0,2.4,2.7,0.748,13.7
mauritius,2009,developing,72.8,166.0,0,2.83,99.0,0,99.0,4.97,99.0,0.1,7318.12641,1247429.0,7.3,7.3,0.734,13.8
panama,2005,developing,75.8,122.0,1,5.53,92.0,2,88.0,7.48,92.0,0.1,4916.54886,333465.0,2.1,2.1,0.74,12.9
tunisia,2011,developing,74.8,13.0,3,1.29,98.0,3,98.0,7.15,98.0,0.1,4256.91279,1761467.0,6.4,6.3,0.714,14.5
south africa,2004,developing,53.7,497.0,55,6.96,76.0,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9
maldives,2005,developing,74.3,93.0,0,1.47,98.0,0,98.0,9.52,98.0,0.1,3488.493769,321.0,14.4,14.5,0.625,12.1
lebanon,2004,developing,73.7,13.0,1,2.1,75.0,1,74.0,8.91,75.0,0.1,5424.22356,3863267.0,4.7,4.6,0.7514999999999998,14.2
romania,2005,developed,71.9,162.0,3,7.68,98.0,4,97.0,5.47,97.0,0.1,4676.315183,21319685.0,3.3,3.8,0.745,13.4
maldives,2004,developing,73.4,16.0,0,1.6,97.0,0,96.0,5.89,96.0,0.1,3853.33348,312.0,14.5,14.6,0.617,12.2
thailand,2008,developing,73.5,162.0,11,5.92,98.0,13,99.0,3.92,99.0,0.3,4378.68746,6654576.0,8.5,8.6,0.7,12.9
belize,2011,developing,69.4,188.0,0,6.64,95.0,0,95.0,5.61,95.0,0.5,4516.24675,329192.0,3.5,3.4,0.7,12.4
tunisia,2014,developing,75.1,12.0,3,1.39,98.0,3,98.0,7.0,98.0,0.1,4271.68172,1114398.0,6.5,6.4,0.722,14.7
seychelles,2000,developing,71.8,188.0,0,8.24,98.0,0,98.0,4.62,98.0,0.1,7578.85153,81131.0,6.3,6.7,0.7368666666666666,12.3
tunisia,2013,developing,74.9,13.0,3,1.29,98.0,3,98.0,7.26,98.0,0.1,4199.47253,1114558.0,6.4,6.3,0.72,14.7
el salvador,2012,developing,73.0,181.0,2,2.48,92.0,2,93.0,6.7,92.0,0.3,3827.786267,6221246.0,1.6,1.6,0.67,13.2
bulgaria,2007,developed,72.6,157.0,1,10.89,95.0,1,95.0,6.41,95.0,0.1,5932.899677,7545338.0,2.1,2.2,0.755,13.5
australia,2004,developed,86.0,69.0,1,9.84,95.0,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,0.6,0.908,20.7
dominican republic,2009,developing,73.6,157.0,6,6.05,8.0,8,85.0,4.41,82.0,1.2,4952.67753,9767758.0,3.4,3.3,0.695,12.9
tunisia,2012,developing,74.9,13.0,3,1.3,97.0,3,97.0,7.18,97.0,0.1,4137.55421,1886668.0,6.4,6.3,0.717,14.6
tunisia,2009,developing,74.7,12.0,3,1.4,99.0,3,99.0,6.18,99.0,0.1,4129.977335,1521834.0,6.3,6.3,0.706,14.4
tonga,2013,developing,73.2,137.0,0,0.01,82.0,0,84.0,4.98,82.0,0.1,4266.557174,15328.0,0.1,0.1,0.718,14.3
belize,2012,developing,69.4,189.0,0,6.66,98.0,0,98.0,5.45,98.0,0.1,4673.63848,33671.0,3.5,3.4,0.702,12.5
germany,2003,developed,78.5,9.0,3,11.92,9.0,4,96.0,1.62,97.0,0.1,3359.95215,82534176.0,1.1,1.1,0.872,16.3
mauritius,2007,developing,72.9,161.0,0,3.24,97.0,0,96.0,4.24,97.0,0.1,6574.654338,123963.0,7.5,7.4,0.72,13.5
turkmenistan,2012,developing,65.6,22.0,7,2.75,98.0,8,98.0,1.96,97.0,0.1,6675.262954,5267839.0,3.2,3.3,0.672,10.7
australia,2005,developed,81.0,67.0,1,10.3,95.0,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,0.6,0.91,20.3
spain,2010,developed,81.9,64.0,1,9.78,97.0,2,97.0,9.56,97.0,0.1,3736.228,46576897.0,0.6,0.5,0.86,16.4
swaziland,2014,developing,58.4,382.0,2,0.01,98.0,3,98.0,9.25,98.0,7.3,3464.35169,129597.0,4.3,4.3,0.541,11.4
paraguay,2013,developing,73.8,148.0,3,5.03,86.0,3,8.0,1.49,86.0,0.2,4479.95858,646574.0,2.0,1.9,0.679,12.3
peru,2009,developing,73.8,14.0,10,4.69,93.0,13,92.0,5.36,93.0,0.3,4166.93387,29157.0,1.2,1.2,0.706,13.3
belize,2010,developing,69.5,186.0,0,6.76,96.0,0,96.0,5.85,96.0,0.2,4344.15177,32168.0,3.5,3.4,0.7,12.4
tonga,2008,developing,72.6,145.0,0,1.1,84.0,0,88.0,5.13,86.0,0.1,3392.64743,135.0,0.1,0.1,0.698,14.5
tonga,2007,developing,72.5,146.0,0,2.05,87.0,0,88.0,5.82,87.0,0.1,2932.315883,12357.0,0.1,0.1,0.698,14.5
tonga,2014,developing,73.3,135.0,0,0.01,8.0,0,82.0,5.18,8.0,0.1,4192.349758,15782.0,0.1,0.1,0.716,14.3
vanuatu,2014,developing,71.7,134.0,0,0.01,64.0,0,65.0,5.2,64.0,0.1,3148.36513,25885.0,1.5,1.4,0.596,10.8
brazil,2009,developing,73.6,157.0,57,7.33,99.0,64,99.0,8.65,99.0,0.1,8553.3847,194895996.0,3.0,2.9,0.714,13.8
seychelles,2002,developing,72.1,186.0,0,11.15,99.0,0,99.0,4.21,99.0,0.1,8331.261997,83723.0,6.1,6.6,0.712,12.1
lithuania,2002,developed,71.4,22.0,0,11.0,94.0,0,97.0,6.4,95.0,0.1,4146.987928,344367.0,3.3,3.3,0.77,15.3
paraguay,2014,developing,73.9,147.0,3,0.01,87.0,3,83.0,9.81,87.0,0.2,4712.822736,6552584.0,2.0,1.9,0.688,12.3
samoa,2011,developing,73.0,139.0,0,2.15,58.0,0,6.0,5.8,65.0,0.1,3942.9827,187665.0,0.2,0.1,0.693,12.9
algeria,2012,developing,75.1,113.0,21,0.66,95.0,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4
belize,2009,developing,69.5,184.0,0,6.85,97.0,0,98.0,5.81,97.0,0.3,4258.788611,313929.0,3.5,3.4,0.7,12.7
el salvador,2011,developing,72.0,197.0,2,2.37,89.0,2,9.0,6.81,89.0,0.3,3736.58713,619256.0,1.7,1.6,0.666,13.0
thailand,2009,developing,73.7,16.0,11,5.88,98.0,12,99.0,4.11,99.0,0.3,4212.5492,66881867.0,8.3,8.5,0.706,13.0
botswana,2010,developing,61.1,349.0,2,5.99,95.0,3,96.0,5.64,95.0,6.2,6346.15624,214866.0,8.0,7.8,0.669,12.3
jordan,2013,developing,73.9,114.0,4,0.4,98.0,4,98.0,7.23,98.0,0.1,3992.86717,8413464.0,3.9,3.9,0.737,13.1
algeria,2013,developing,75.3,112.0,21,0.53,95.0,24,95.0,7.12,95.0,0.1,5471.866766,38338562.0,5.9,5.8,0.737,14.4
poland,2003,developed,74.7,142.0,3,9.06,97.0,3,98.0,6.22,99.0,0.1,5693.52416,382457.0,2.4,2.6,0.796,15.3
serbia,2006,developing,73.6,133.0,1,8.58,93.0,1,97.0,8.99,92.0,0.1,4129.758741,7411569.0,2.5,2.5,0.739,13.4
guyana,2011,developing,65.6,229.0,0,7.56,93.0,1,93.0,6.8,93.0,0.4,3439.597513,7491.0,5.6,5.3,0.624,10.3
jordan,2008,developing,73.1,119.0,4,0.61,97.0,4,98.0,8.78,97.0,0.1,3385.69665,6489822.0,3.8,3.8,0.739,13.6
lebanon,2006,developing,74.1,1.0,1,1.82,78.0,1,75.0,8.83,78.0,0.1,5372.65899,45735.0,4.7,4.6,0.733,13.2
colombia,2005,developing,73.1,144.0,15,4.38,93.0,18,93.0,5.82,93.0,0.1,3386.256,43285634.0,2.4,2.1,0.658,11.1
lebanon,2003,developing,73.5,15.0,1,2.19,74.0,1,74.0,9.3,74.0,0.1,5425.6697,371464.0,4.8,4.7,0.7514999999999998,14.8
panama,2004,developing,75.8,123.0,1,5.69,95.0,2,92.0,8.9,95.0,0.2,4591.892776,3269541.0,2.2,2.1,0.733,12.8
brazil,2008,developing,73.4,158.0,61,7.21,96.0,68,99.0,8.24,99.0,0.1,8787.61375,19297929.0,3.0,3.0,0.704,13.3
thailand,2007,developing,73.3,165.0,12,6.2,96.0,14,98.0,3.56,98.0,0.4,3972.26475,66195615.0,8.6,8.8,0.687,12.3
south africa,2003,developing,54.0,485.0,55,6.93,71.0,82,7.0,8.26,69.0,28.9,3775.68275,46418193.9,13.5,16.1,0.613,12.9
trinidad and tobago,2001,developing,69.1,194.0,0,4.55,5.0,1,91.0,4.4,91.0,1.2,6935.721451,127238.0,6.6,7.1,0.715,11.8
peru,2007,developing,74.0,133.0,11,4.29,93.0,15,93.0,4.6,93.0,0.3,3611.2147,28292724.0,1.2,1.2,0.696,13.2
poland,2002,developed,74.5,145.0,3,8.02,98.0,3,98.0,6.32,99.0,0.1,5196.932921,3823364.0,2.5,2.6,0.79,15.0
botswana,2007,developing,56.9,436.0,2,6.21,93.0,3,96.0,4.71,96.0,13.4,5714.47937,1914414.0,9.2,9.0,0.63,12.1
spain,2007,developed,89.0,72.0,2,11.05,96.0,2,96.0,8.36,96.0,0.1,3279.414,4522683.0,0.6,0.5,0.849,16.0
lebanon,2001,developing,73.0,11.0,1,2.19,8.0,1,8.0,1.9,8.0,0.1,5253.122599,3359859.0,4.9,4.7,0.7514999999999998,15.0
mauritius,2004,developing,71.9,168.0,0,4.16,98.0,0,98.0,4.29,98.0,0.1,5229.876738,12213.0,7.8,7.7,0.696,12.8
algeria,2011,developing,74.9,116.0,21,0.56,95.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,5.8,0.724,14.0
israel,2009,developing,81.5,63.0,1,2.55,98.0,1,96.0,7.46,96.0,0.1,27795.87671,74856.0,1.2,1.1,0.876,15.6
bulgaria,2006,developed,72.2,161.0,1,10.39,96.0,1,96.0,6.67,95.0,0.1,4513.13628,76122.0,2.2,2.2,0.75,13.5
belgium,2003,developed,78.3,95.0,0,11.28,64.0,1,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6
